tag,model_type,time_limit,mse_learned,mse_test
SciANN,sg,0-10,7.413760179387638e-05,0.0001094557934528
SciANN,sg,0-24,1.8444817527359304e-05,0.0001545739830701
SciANN,sg,10-24,9.824787591086128e-05,0.0103716544400479
SciANN,coexistence,0-10,0.0022858027140422,0.0023115991149191
SciANN,coexistence,0-24,0.0004068729870326,0.000178541825807
SciANN,coexistence,10-24,0.0089760984600559,0.0089718810977782
SciANN,survival,0-10,0.0003949478325931,0.0003849154422503
SciANN,survival,0-24,0.000183036476802,0.0001566505246892
SciANN,survival,10-24,0.073692611949491,0.0736969017284938
